"title","url","platform","description","options","numforecasts","numforecasters","stars"
"Estimates for Security (Symbol)","https://www.estimize.com/symbol","Estimize","A link to Estimize's forecasts for *Security* (sticker symbol Symbol). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for 3M Company (MMM)","https://www.estimize.com/mmm","Estimize","A link to Estimize's forecasts for *3M Company* (sticker symbol MMM). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Abbott Laboratories (ABT)","https://www.estimize.com/abt","Estimize","A link to Estimize's forecasts for *Abbott Laboratories* (sticker symbol ABT). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for AbbVie Inc. (ABBV)","https://www.estimize.com/abbv","Estimize","A link to Estimize's forecasts for *AbbVie Inc.* (sticker symbol ABBV). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Abiomed (ABMD)","https://www.estimize.com/abmd","Estimize","A link to Estimize's forecasts for *Abiomed* (sticker symbol ABMD). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Accenture (ACN)","https://www.estimize.com/acn","Estimize","A link to Estimize's forecasts for *Accenture* (sticker symbol ACN). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Activision Blizzard (ATVI)","https://www.estimize.com/atvi","Estimize","A link to Estimize's forecasts for *Activision Blizzard* (sticker symbol ATVI). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Adobe Inc. (ADBE)","https://www.estimize.com/adbe","Estimize","A link to Estimize's forecasts for *Adobe Inc.* (sticker symbol ADBE). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Advanced Micro Devices (AMD)","https://www.estimize.com/amd","Estimize","A link to Estimize's forecasts for *Advanced Micro Devices* (sticker symbol AMD). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for Advance Auto Parts (AAP)","https://www.estimize.com/aap","Estimize","A link to Estimize's forecasts for *Advance Auto Parts* (sticker symbol AAP). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
"Estimates for AES Corp (AES)","https://www.estimize.com/aes","Estimize","A link to Estimize's forecasts for *AES Corp* (sticker symbol AES). Viewing them requires making a prediction, Wall Street estimates are provided for free","[]",,,2
