"title","url","platform","description","options","numforecasts","numforecasters","stars"
"Hours of 80,000 Hours podcast content released","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/0926981c-1cc8-4e21-a3e4-865a3c544e67","Foretold","","[]",2.5,,2
"% global rate of ""$1.90 a day"" poverty in 2030","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/e1ca8cc6-33a4-4e38-9ef3-553a050ba0a9","Foretold","","[]",5.5,,2
"A bioengineering project kills at least five thousand people by 2023-02-15","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/9386c0c2-d8df-4e17-9aba-98b2b60c6608","Foretold","","[{""name"":""Yes"",""probability"":0.06,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.94,""type"":""PROBABILITY""}]",4,,2
"A bioengineering project kills at least five people by 2023-02-15","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/ecd31a5b-75ae-4785-89f9-6be85ade3af0","Foretold","","[{""name"":""Yes"",""probability"":0.15,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.85,""type"":""PROBABILITY""}]",3,,2
"How many papers will cite ""Logical Induction"" by Garrabrant, S. et al. at the end of 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/12d6442f-3f73-43af-a5b5-de66df236bde","Foretold","","[]",2,,2
"How many papers will cite ""Risks from Learned Optimization in Advanced Machine Learning Systems"" by Hubinger, E. et al. at the end of 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/85769e44-27fe-4f28-aff2-16ffc735c573","Foretold","","[]",1,,2
"Will GiveWell renew the grant to the Centre for Pesticide Suicide Prevention?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/be2b184b-9162-453b-a31a-f31204388324","Foretold","","[{""name"":""Yes"",""probability"":0.65,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.35,""type"":""PROBABILITY""}]",1.5,,2
"By the end of 2020, what % of US hens will live in cage-free housing?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/b5077bdb-25ff-4027-9a41-3dd5e78e08ac","Foretold","","[]",4.5,,2
"Will SB 592 clear the California state Assembly?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/d97e690d-baeb-4e45-bf48-dca41535e1e1","Foretold","","[{""name"":""Yes"",""probability"":0.695,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.30500000000000005,""type"":""PROBABILITY""}]",2,,2
"5 cities with at least 50k population implement approval voting by 2022","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/b5ef0f81-18c4-42fa-864e-e8dc0d9ea8d6","Foretold","","[{""name"":""Yes"",""probability"":0.245,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.755,""type"":""PROBABILITY""}]",7.5,,2
"How many preregistrations on OSF will there be at the end of 2023?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/efbd2e5c-185d-451b-a54a-72be1a302a10","Foretold","","[]",2,,2
"How many preregistrations on OSF will there be at the end of 2022?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/f69988cc-f2c2-4dc9-aca0-2aae01a2606d","Foretold","","[]",4,,2
"How many preregistrations on OSF will there be at the end of 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/862c4482-b77e-49bd-89e6-c28bd664f0f7","Foretold","","[]",7,,2
"What % of grant dollars made to AI Safety by OpenPhil in 2020 will go to the University of Oxford?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/51eaef45-463b-4c85-bd6c-62e267bfbadd","Foretold","","[]",1,,2
"What % of grant dollars made to AI Safety by OpenPhil in 2020 will go to UC Berkeley?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/bfdeb28d-deb4-44b8-91e0-a840b5564620","Foretold","","[]",1,,2
"How much in grants will OpenPhil recommend to Global Health and Development between 2020 and 2030?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/feff8be7-0a44-48d7-99a2-0015faa64c14","Foretold","","[]",2,,2
"How much in grants will OpenPhil recommend to U.S. policy between 2020 and 2030?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/ee8e154d-c7d8-4337-905d-0fd5e1fdd924","Foretold","","[]",2,,2
"How many preregistrations on OSF will there be at the end of 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/8ae516ed-5d4d-4008-bcf8-d86e4ae814d6","Foretold","","[]",15,,2
"How much in grants will OpenPhil recommend to scientific research between 2020 and 2030?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/dfc6e8e4-0a36-4e57-b3d1-004fce0bbd4d","Foretold","","[]",3,,2
"How much in grants will OpenPhil recommend to AI safety between 2020 and 2030?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/cb1d4afc-7200-48b3-aa75-06e0b4d451b4","Foretold","","[]",2,,2
"What will the Metaculus community median probability for AI catastrophe by 2100 be in 2030?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/b9034665-5ab1-44df-9af3-0a954759b3df","Foretold","","[]",5,,2
"What % of grant dollars made to AI Safety by OpenPhil in 2020 will go to MIRI?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/7265aead-923a-4a61-957a-be846741a889","Foretold","","[]",6,,2
"How many of Eliezer Yudkowsky, Paul Christiano, Nate Soares, and Dario Amodei will still be working on AI safety by the end of 2029?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/0b2ff995-6b72-49d3-90b6-e5ba9ebb5781","Foretold","","[]",6.5,,2
"Will MIRI still exist in 2023?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/6fbca8b0-740b-4c9e-b0cb-aa5bdc30a4ba","Foretold","","[{""name"":""Yes"",""probability"":0.9233333333333333,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.07666666666666666,""type"":""PROBABILITY""}]",7,,2
"How many nuclear warheads will the US have in 2029?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/b76f74a0-c3a0-4530-b27c-e462ef593893","Foretold","","[]",2,,2
"Will Good Policies still be running at the end of 2022?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/1a5a05b6-0dc7-4725-b559-e732d394ed28","Foretold","","[{""name"":""Yes"",""probability"":0.7,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.30000000000000004,""type"":""PROBABILITY""}]",2,,2
"How much will GiveWell guess it will cost to get an outcome as good as saving a life, at the end of 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/1e42ecfd-5117-4e91-9eb8-f27920029131","Foretold","","[]",8,,2
"How many papers will cite ""Embedded Agency"" by Demski, A. and Garrabrant, S. at the end of 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/2336bbb0-538b-44c4-a48d-04c9c5e842de","Foretold","","[]",7,,2
"What percentage of grant dollars from the Global Health and Development EA Fund distributed in 2020 will go towards deworming organisations?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/7fd75c13-a2ed-4e76-9d44-09867d06ca5a","Foretold","","[]",3,,2
"When will more than half of the main broad types of conventional whole pieces of farmed animal muscle tissue have at least one cost-competitive cultured alternative, in years after 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/a71cd5b8-fdcf-45f7-9168-822e11c0e406","Foretold","","[]",2.5,,2
"When will more than half of the main broad types of conventional ground meats will have at least one cost-competitive cultured alternative, in years after 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/35caf084-9436-49c3-a046-eea6a8c8bf7a","Foretold","","[]",4,,2
"When will more than half of the main broad types of conventional acellular animal products have at least one cost-competitive cultured alternative, in years after 2020?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/089b42c8-ab9d-420c-9088-899b33df9efc","Foretold","","[]",5,,2
"What will the balance + payouts be for the Long Term Future Fund at the end of 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/dc8c4beb-2f68-40e6-88e0-7fef557ef534","Foretold","","[]",4,,2
"What will the balance + payouts be for the EA Meta Fund at the end of 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/1244c18b-8b0d-45a1-9d66-97f8f6c7c60b","Foretold","","[]",5,,2
"What will the balance + payouts be for the Animal Welfare EA Fund at the end of 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/a547db8c-3906-43d6-afa8-138b9406ec53","Foretold","","[]",4,,2
"Will the Albert Schweitzer Foundation remain an ACE top charity in 2022?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/1b3674e6-a036-4887-80bb-fea8f24ff118","Foretold","","[{""name"":""Yes"",""probability"":0.7333333333333333,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.2666666666666667,""type"":""PROBABILITY""}]",5,,2
"Will the Albert Schweitzer Foundation remain an ACE top charity in 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/eedcf35c-1acc-45c6-9600-36c9a6efd53a","Foretold","","[{""name"":""Yes"",""probability"":0.8166666666666668,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.18333333333333324,""type"":""PROBABILITY""}]",5.5,,2
"Will Animal Equality remain an ACE top charity in 2022?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/294d918c-99fb-4bb8-a162-2b248b328789","Foretold","","[{""name"":""Yes"",""probability"":0.44666666666666666,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5533333333333333,""type"":""PROBABILITY""}]",5,,2
"Will Animal Equality remain an ACE top charity in 2021?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/605b7ed3-fd73-4979-8252-a86dcb4dc04a","Foretold","","[{""name"":""Yes"",""probability"":0.49666666666666665,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5033333333333334,""type"":""PROBABILITY""}]",5,,2
"Will the Good Food Institute remain an ACE top charity in 2022?","https://www.foretold.io/c/0104d8e8-07e4-464b-8b32-74ef22b49f21/m/563268d2-81b3-4bab-9ef5-c7a0a731a743","Foretold","","[{""name"":""Yes"",""probability"":0.7866666666666667,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.21333333333333326,""type"":""PROBABILITY""}]",5,,2
