"title","url","platform","description","options","numforecasts","numforecasters","stars"
"OFTW moves more than $2.5 million to GiveWell top charities in 2020","https://www.givewell.org/about/impact/one-for-the-world/july-2018-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: One for the World — General Support","[{""name"":""Yes"",""probability"":0.25,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.75,""type"":""PROBABILITY""}]",,,2
"Conditioned on it still being active, OFTW moves more than $5 million to GiveWell top charities in 2023","https://www.givewell.org/about/impact/one-for-the-world/july-2018-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: One for the World — General Support","[{""name"":""Yes"",""probability"":0.15,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.85,""type"":""PROBABILITY""}]",,,2
"One for the World — General Support. We renew our support to OFTW after one year","https://www.givewell.org/about/impact/one-for-the-world/july-2018-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: One for the World — General Support. Resolution: September 2019","[{""name"":""Yes"",""probability"":0.75,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.25,""type"":""PROBABILITY""}]",,,2
"One for the World — General Support. We renew our support to OFTW after two years","https://www.givewell.org/about/impact/one-for-the-world/july-2018-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: One for the World — General Support. Resolution: September 2020","[{""name"":""Yes"",""probability"":0.5,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5,""type"":""PROBABILITY""}]",,,2
"Zusha! is recommended as a top charity by year-end 2017","https://www.givewell.org/charities/gui2de/january-2017-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Georgetown University Initiative on Innovation, Development, and Evaluation — Zusha! Road Safety Campaign","[{""name"":""Yes"",""probability"":0.35,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.65,""type"":""PROBABILITY""}]",,,2
"Zusha! appears more cost-effective than AMF","https://www.givewell.org/charities/gui2de/january-2017-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Georgetown University Initiative on Innovation, Development, and Evaluation — Zusha! Road Safety Campaign. Resolution: By year-end 2017","[{""name"":""Yes"",""probability"":0.1,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9,""type"":""PROBABILITY""}]",,,2
"Zusha! appears roughly as cost-effective as AMF","https://www.givewell.org/charities/gui2de/january-2017-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Georgetown University Initiative on Innovation, Development, and Evaluation — Zusha! Road Safety Campaign. Resolution: By year-end 2017","[{""name"":""Yes"",""probability"":0.15,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.85,""type"":""PROBABILITY""}]",,,2
"Zusha! appears less cost-effective than AMF (but is still a top charity recommendation)","https://www.givewell.org/charities/gui2de/january-2017-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Georgetown University Initiative on Innovation, Development, and Evaluation — Zusha! Road Safety Campaign. Resolution: By year-end 2017","[{""name"":""Yes"",""probability"":0.1,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9,""type"":""PROBABILITY""}]",,,2
"Good Ventures gives additional funding to Charity Science: Health in one year","https://www.givewell.org/charities/charity-science/charity-science-health/november-2016-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Charity Science: Health — General Support. Resolution: 2017","[{""name"":""Yes"",""probability"":0.8,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.19999999999999996,""type"":""PROBABILITY""}]",,,2
"Charity Science: Health becomes (or creates) a GiveWell top charity by giving season 2019","https://www.givewell.org/charities/charity-science/charity-science-health/november-2016-grant#Internal_forecasts","GiveWell/OpenPhilanthropy","Associated grant: Charity Science: Health — General Support","[{""name"":""Yes"",""probability"":0.15,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.85,""type"":""PROBABILITY""}]",,,2
