"Title","URL","Platform","Binary question?","Percentage","# Forecasts"
"When will Joe Biden cease to be president of the United States?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"Before 1 January 2023, will legislation raising the top marginal tax rate for long-term capital gains in the U.S. to higher than 20% become law?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"Before 1 January 2023, will legislation raising the top corporate tax rate in the U.S. to higher than 21% become law?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"Before 1 January 2023, will legislation creating a ""public option"" health insurance plan administered by the federal government become law?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"Before 1 January 2023, will the United States ratify the TPP and/or the CPTPP?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"What will be the U.S. real GDP for the second quarter of 2021 relative to the U.S. real GDP for the second quarter of 2019?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"When will enough doses of FDA-approved COVID-19 vaccine(s) to inoculate 100 million people be distributed in the United States?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"When will Germany report that 75 million cumulative vaccine doses for COVID-19 have been given?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"When will the UK report that 35 million people in the UK have been vaccinated for COVID-19?","https://goodjudgment.io/superforecasts/","Good Judgment",false,"none",
"In 2021, what percentage of corporate board seats at S&P 500 firms will be held by racial minorities, according to The Conference Board?","https://goodjudgment.io/economist/","Good Judgment",false,"none",
"What will be the world's GDP in 2021 relative to the world's GDP in 2019, according to the IMF?","https://goodjudgment.io/economist/","Good Judgment",false,"none",
"What will be the value of sustainable funds' estimated annual flows in the U.S. in 2021 relative to 2020, according to Morningstar?","https://goodjudgment.io/economist/","Good Judgment",false,"none",
"When will enough doses of FDA-approved COVID-19 vaccine(s) to inoculate 200 million people be distributed in the United States?","https://goodjudgment.io/economist/","Good Judgment",false,"none",
"As of 1 July 2021, what will be the United Kingdom's Office for National Statistics (ONS) latest report of the percentage of working adults who 'worked from home exclusively'?","https://goodjudgment.io/economist/","Good Judgment",false,"none",
