title,url,probability,actualEstimate,platform,date_approx,category,description
Total existential risk by 2120,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.17,~17% (~1 in 6),Toby Ord,2020,Total risk,"Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""

This estimate already incorporates Ord's expectation that people will start taking these risks more seriously in future. For his ""business as usual"" estimate, see the conditional estimates sheet."
Overall risk of extinction prior to 2100,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.19,19%,GCR Conference,2008,Total risk,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.
Existential risk in the 21st century,https://80000hours.org/podcast/episodes/will-macaskill-paralysis-and-hinge-of-history/#transcript,0.01,1%,Will MacAskill,2019,Total risk,
Extinction risk in the next century,https://80000hours.org/articles/extinction-risk/,0.03,Probably at or above 3%,"Ben Todd or 80,000 Hours",2017,Total risk,
Risk of extinction over the next five centuries,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.3,At or above 30%,John Leslie,1996,Total risk,"""The probability of the human race avoiding extinction for the next five centuries is encouragingly high, perhaps as high as 70 percent”"
Our present civilization on earth will survive to the end of the present century,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.5,"≤50% (""no better than fifty-fifty"")",Martin Rees,2003,Total risk,
"There be zero living humans on planet earth on January 1, 2100",https://www.metaculus.com/questions/578/human-extinction-by-2100/,0.08,Median: 1%. Mean: 8%.,Metaculus responders,,Total risk,That median and mean is as of 3rd July 2019.
Existential disaster will do us in,https://www.nickbostrom.com/existential/risks.html,0.25,Probably at or above 25%,Nick Bostrom,2002,Total risk,
"Humanity will cease to exist before 5,100 years or thrive beyond 7.8 million years",https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.05,5%.,Gott III,1993,Total risk,
Annual probability as of 2009 of extinction,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.0035,0.3-0.4%,Wells,2009,Total risk,
Global catastrophic risk per year.,https://arxiv.org/abs/1611.03072,0.002,0.2%,Simpson,2016,Total risk,"Beard et al. seem to imply this is about extinction, but the quote suggests it's about ""global catastrophic risk""."
Humanity avoids every existential catastrophe and eventually fulfils its potential: achieving something close to the best future open to us,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.5,50% (~1 in 2),Toby Ord,2020,Total risk,
Sentient life will survive for at least billions of years,https://forum.effectivealtruism.org/posts/MSYhEatxkEfg46j3D/the-case-of-the-missing-cause-prioritisation-research?commentId=iWkoScDxocaAJE4Jg,0.2,>20%,Ozzie Gooen,2020,Total risk,"""I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great."""
Existential catastrophe by 2120 as a result of unaligned AI,https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0,0.1,~10%,Toby Ord,2020,AI,
Human extinction by 2100 as a result of superintelligent AI,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.05,5%,Global Catastrophic Risk Conference,2008,AI,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain."
