"title","url","platform","description","options","numforecasts","numforecasters","stars"
"Will Andrew Yang win the Democratic primary for Mayor of New York City in 2021?","https://polymarket.com/market/will-andrew-yang-win-the-democratic-primary-for-mayor-of-new-york-city-in-2021","PolyMarket","This is a market on if Andrew Yang will win the Democratic primary for New York City Mayor in 2021. This market will resolve to ""Yes"" if Yang is the winner of the Democratic primary for Mayor of New York City, and ""No"" otherwise. The primary is currently scheduled for June 22, 2021. In the event that the primary is not held on that date, the resolution of this market will be delayed until the primary takes place. If no primary is held in 2021, this market will resolve to ""No"". The resolution source for this market will be any official CNN publication that declares Andrew Yang the primary winner. In the event of conflicting sources between CNN and WSJ (https://www.wsj.com) or Associated Press (https://apnews.com/), the market will only be resolved once there is a definitive winner. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).

 



","[{""name"":""Yes"",""probability"":""0.632638237361654930744949974442138"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.367361762638345069255050025557862"",""type"":""PROBABILITY""}]","308",,4
"Will inflation be 0.5% or more from February to March?","https://polymarket.com/market/will-inflation-be-0-5-or-more-from-february-to-march","PolyMarket","This is a market on whether month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U) will be 0.5% or more from February to March, when the BLS releases month-to-month inflation information for the preceding month of March on April 13, 2021, 8:30 am ET. This market will resolve to “Yes” if the Bureau of Labor Statistics reports that, on a seasonally adjusted basis, the Consumer Price Index for All Urban Consumers (CPI-U) increased by exactly 0.5 percent (i.e. fifty hundredths of 1%) or more from February 2021 to March 2021. This market will resolve to “No” if the Bureau of Labor Statistics reports that, on a seasonally adjusted basis, the Consumer Price Index for All Urban Consumers (CPI-U) increased by less than 0.5 percent (i.e. fifty hundredths of 1%) from February 2021 to March 2021. The resolution source for this market will be the BLS March 2021 Consumer Price Index report (https://www.bls.gov/bls/news-release/cpi.htm), currently scheduled for release on April 13, 2021, 8:30 am ET. Resolution of this market will take place upon release of the aforementioned data. Note that the resolution source for this market will be the official monthly BLS CPI news release which reports seasonally-adjusted month-to-month inflation to only one decimal point (e.g. 0.4%, 0.1%, etc). Thus, this is the level of precision that will be used when resolving the market (i.e. if seasonally adjusted month-to-month CPI-U is 0.4%, the market will resolve to “No”, if it is 0.5%, this market will resolve to “Yes”).
","[{""name"":""Yes"",""probability"":""0.4904149760276465371688331535796428"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.5095850239723534628311668464203572"",""type"":""PROBABILITY""}]","145",,4
"Will Floyd Mayweather beat Logan Paul in their boxing exhibition match?","https://polymarket.com/market/will-floyd-mayweather-beat-logan-paul-in-their-boxing-exhibition-match","PolyMarket","This is a market on whether Floyd Mayweather will win his boxing exhibition match against Logan Paul set to take place on February 20th, 2021. If Floyd Mayweather is declared the winner of this bout, either by knockout or by judgement, this market will resolve “Yes.” If Logan Paul is declared the winner, or this fight is declared a draw, this market will resolve to “No”. If this match is, for any reason, postponed to a date earlier than May 1st, 2021, the same market resolution conditions will apply for whenever the fight is rescheduled. In the event the boxing match does not take place before then, the market will resolve to .90 for ""Yes"" and .10 for ""No"", which is in line with existing market odds at time of deployment. More info can be found about this fight on the Fanmio website here: https://fanmio.com/products/floyd-mayweather-vs-logan-paul-special-exhibition-fight. In the event of ambiguity in regards to the outcome, this market will be resolved in good faith by the Markets Integrity Committee (MIC).","[{""name"":""Yes"",""probability"":""0.897865272633556215468582834952382"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.102134727366443784531417165047618"",""type"":""PROBABILITY""}]","779",,4
"How many more tweets will be on the @mtgreenee account on March 30, 2021?","https://polymarket.com/market/how-many-more-tweets-will-be-on-the-mtgreenee-account-on-march-30-2021-1","PolyMarket","This is a market on the number of tweets that will be posted to Marjorie Taylor Greene’s Twitter account prior to the resolution date, March 30, 2021 at 3:00 PM ET. 

At 3:00 PM ET on the resolution date, the number of total tweets posted by the Twitter account @mtgreenee, shall exceed 11,464  (the ""Baseline"") by the number or range identified in the contract, as indicated by the number under the label ""TWEETS"" on the account detail viewable on the desktop version of https://tweetdeck.twitter.com/. This account detail can be viewed by using a Twitter account to log into the website https://tweetdeck.twitter.com/, searching for @mtgreenee, then clicking the verified account labeled “@mtgreenee” from the search results. Should the total tweets reported by that source at that time appear not to include one or more tweets posted by @mtgreenee just before 3:00pm, and still available on that account's timeline at 3:00pm, Polymarket may use additional sources in determining whether any such tweet(s) should be included in the market's resolution. The number by which the total tweets on the resolution date exceeds the Baseline may not equal the number of tweets actually posted over that time period, in light of numerous factors, including but not limited to the fact that the account's total tweets upon launch of the market may differ from the Baseline, tweets may be deleted prior to the resolution date of this market, and specialized tweets such as quotes, retweets, replies, promoted tweets, may or may not be included in that total.

Neither Marjorie Taylor Greene, nor any authorized user of the account in question, need be the author of any such tweets, nor must any authorized user maintain control of the account. Should the resolution source be unavailable at that date and time, for any reason other than deletion, deactivation, or a change in the privacy settings of the account, Polymarket may postpone settlement of this market until the source becomes available. In such a case, the account's total tweets will be measured once Polymarket becomes aware that the source has again become available. If Polymarket deems the source to be permanently unavailable, this market will resolve to the lowest bracket. Should an updated count of total tweets not be available from twitter.com at the date and time of expiration, due to apparent deletion, deactivation, suspension, or a change in privacy settings by a user of the account or by Twitter, this market will resolve to the lowest bracket. The blocking of one or more Twitter accounts by @mtgreenee will not be considered to render the settlement source unavailable.

Should the navigation, layout, URL, or labeling of the elements of the settlement source be altered by Twitter or Tweetdeck prior to expiration (other than via deletion or deactivation of the account), this market will still be resolved according to the aforementioned formula, so long as Polymarket can reasonably determine the relevant number of total tweets from twitter.com. The merging, migration, or other combination of one or more Twitter accounts will not in and of itself cause the settlement source to be considered unavailable, so long as an updated count of total tweets can be determined according to the aforementioned formula, even if such combination causes an increase or decrease in that count that does not represent the number of tweets posted to the account during the time period in question.

In the event of ambiguity in terms of the market outcome, the market will be resolved in good faith at the sole discretion of the Markets Integrity Committee (MIC).
","[{""name"":""Less than 70"",""probability"":""0.1925806659328219287092287968871445"",""type"":""PROBABILITY""},{""name"":""70-80"",""probability"":""0.2290186254410298016556926647905388"",""type"":""PROBABILITY""},{""name"":""81-90"",""probability"":""0.2436853968287872885728572749438313"",""type"":""PROBABILITY""},{""name"":""91-100"",""probability"":""0.1145709748766955799705387814839873"",""type"":""PROBABILITY""},{""name"":""101-110"",""probability"":""0.09892070700247320647702834135175433"",""type"":""PROBABILITY""},{""name"":""More than 110"",""probability"":""0.1212236299181921946146541405427435"",""type"":""PROBABILITY""}]","236",,4
"Will the US have fewer than 35,000 new COVID-19 cases on any day before April 7, 2021?","https://polymarket.com/market/will-the-us-have-fewer-than-35000-new-covid-19-cases-on-any-day-before-april-7-2021","PolyMarket"," This is a market on whether there will be a single day after the creation of this market and prior to the resolution date, April 7, 2021, 8 PM ET, with fewer than 35,000 recorded COVID-19 cases in the United States. This market will resolve to “Yes"" if on any single day prior to the resolution date there are fewer than 35,000 COVID-19 cases recorded. This market will resolve to “No"" if there is no single day the United States records fewer than 35,000 COVID-19 cases according to the resolution source. The resolution source for this market will be https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendscases, the CDC's official count of Coronavirus cases. The resolution source will be reviewed once daily at 8 PM ET, and only data as listed on 8 PM ET each day prior to and including the resolution date will be considered. In the event of ambiguity in terms of the market outcome, the market will be resolved in good faith at the sole discretion of the Markets Integrity Committee (MIC).
","[{""name"":""Yes"",""probability"":""0.2242273527492839511189916586005524"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.7757726472507160488810083413994476"",""type"":""PROBABILITY""}]","403",,4
"Will Texas, Florida, or California have the highest 7-day daily average of COVID-19 cases on April 15, 2021?","https://polymarket.com/market/will-texas-florida-or-california-have-the-highest-7-day-daily-average-of-covid-19-cases-on-april-15-2021","PolyMarket","This is a market on which of the following states will have the highest 7-day daily average of COVID-19 cases on April 15, 2021, 12:00 PM ET: Texas, Florida, or California. The resolution source for this Market will be the New York Times’ U.S. state-by-state COVID-19 case count dashboard (https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html#states). This market will resolve to whichever state out of Texas, Florida, or California has the highest 7-day daily average of COVID-19 cases on the resolution date. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC). 
","[{""name"":""Texas"",""probability"":""0.1841513365764560725353508902079281"",""type"":""PROBABILITY""},{""name"":""Florida"",""probability"":""0.7292888892908292455463694859164885"",""type"":""PROBABILITY""},{""name"":""California"",""probability"":""0.08655977413271468191827962387558335"",""type"":""PROBABILITY""}]","229",,4
"Will the federal minimum wage be $9.50 per hour or higher by April 1?","https://polymarket.com/market/will-the-federal-minimum-wage-be-9-50-per-hour-or-higher-by-april-1-1","PolyMarket","This is a market on if the federal minimum wage will be $9.50 per hour or higher by April 1, 12:00pm EST. This market will resolve to ""Yes"" if the federal minimum wage in effect for covered non-exempt employees is $9.50 or more per hour at any point prior to the resolution date, and ""No"" otherwise. The primary resolution source for this market will be the U.S. Department of Labor's website, https://www.dol.gov/.","[{""name"":""Yes"",""probability"":""0.00309456559676238734189039658378795"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.9969054344032376126581096034162121"",""type"":""PROBABILITY""}]","185",,3
"Will weekly jobless claims exceed 650K for the week ending on April 3?","https://polymarket.com/market/will-weekly-jobless-claims-exceed-650k-for-the-week-ending-on-april-3","PolyMarket","This is a market on whether the number of Americans that file weekly jobless claims will exceed 650,000 for the week ending on Saturday, April 3, 2021. This market will resolve to “Yes” if the United States Department of Labor reports that there were more than 650,000 seasonally adjusted initial claims for unemployment insurance for the week ending on April 3, 2021. This market will resolve to “No” if the United States Department of Labor reports that there were 650,000 or less seasonally adjusted initial claims for unemployment insurance for the week ending on April 3, 2021.  The resolution source for this market will be the United States Department of Labor’s Weekly Uninsurance Claims report for the week ending on Saturday, April 3, 2021, expected to be released on Thursday, April 8. Resolution of this market will take place upon release of the aforementioned data. .
","[{""name"":""Yes"",""probability"":""0.5094639873352057272485228888769691"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.4905360126647942727514771111230309"",""type"":""PROBABILITY""}]","76",,4
"Will the average Ethereum gas price be below 150 Gwei on April 5?","https://polymarket.com/market/will-the-average-ethereum-gas-price-be-below-150-gwei-on-april-5","PolyMarket","This is a market on whether the average Ethereum gas price will be below 150 Gwei on April 5, 2021. This market will resolve to ""Yes"" if Avg Gas Price is listed as being below 150 Gwei for that date, on Etherscan. If Avg Gas Price is 150 Gwei or higher, this market will resolve to ""No"". The resolution source for this market is https://etherscan.io/chart/gasprice. This market will resolve when data is available for the date of April 5, 2021. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC). 

","[{""name"":""Yes"",""probability"":""0.4128864215080620917977480432273247"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.5871135784919379082022519567726753"",""type"":""PROBABILITY""}]","23",,3
"Will Donald Trump be President of the USA on March 31, 2021?","https://polymarket.com/market/will-donald-trump-be-president-of-the-usa-on-march-31-2021","PolyMarket","This is a market on if Donald Trump will be President of the United States on March 31, 2021, 12pm EST. This market will resolve to “Yes“ if, on the resolution date, Donald Trump is the current President of the United States, officially substantiated by official US government sources, like the links provided as the resolution source. If, for any reason, Donald Trump is not the sitting President of the United States on that date, this market will resolve to “No"". The resolution sources are: 1. https://www.loc.gov/rr/print/list/057_chron.html , 2. https://history.house.gov/Institution/Presidents-Coinciding/Presidents-Coinciding/ and 3. https://www.whitehouse.gov/. 

If any of these 3 sources list Donald Trump officially as the current sitting president on the resolution date, this market will resolve to ""Yes"". In the event of ambiguity in terms of the market outcome, the market will be resolved in good faith at the sole discretion of the Markets Integrity Committee (MIC).","[{""name"":""Yes"",""probability"":""0.001960969181035111127905723783502262"",""type"":""PROBABILITY""},{""name"":""No"",""probability"":""0.9980390308189648888720942762164977"",""type"":""PROBABILITY""}]","4255",,3
