"title","url","platform","options","description","numforecasts","stars"
"Next permanent leader of the Conservative Party, after Boris Johnson","https://smarkets.com/event/886716/politics/uk/uk-party-leaders/next-conservative-leader","Smarkets","[{""name"":""Sajid Javid"",""probability"":0.03793477189870924,""type"":""PROBABILITY""},{""name"":""Rory Stewart"",""probability"":0.0009853187506158245,""type"":""PROBABILITY""},{""name"":""Jacob Rees-Mogg"",""probability"":0.025913883141196182,""type"":""PROBABILITY""},{""name"":""Penny Mordaunt"",""probability"":0.027391861267119916,""type"":""PROBABILITY""},{""name"":""Jeremy Hunt"",""probability"":0.10946891319341809,""type"":""PROBABILITY""},{""name"":""James Cleverly"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Dominic Raab"",""probability"":0.06572076066607549,""type"":""PROBABILITY""},{""name"":""Tom Tugendhat"",""probability"":0.06355305941472067,""type"":""PROBABILITY""},{""name"":""Priti Patel"",""probability"":0.0533057444083161,""type"":""PROBABILITY""},{""name"":""Amber Rudd"",""probability"":0.005517785003448617,""type"":""PROBABILITY""},{""name"":""Johnny Mercer"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Gove"",""probability"":0.08207705192629818,""type"":""PROBABILITY""},{""name"":""Matthew Hancock"",""probability"":0.0533057444083161,""type"":""PROBABILITY""},{""name"":""Liz Truss"",""probability"":0.03941275002463298,""type"":""PROBABILITY""},{""name"":""Gavin Williamson"",""probability"":0.03941275002463298,""type"":""PROBABILITY""},{""name"":""Andrea Leadsom"",""probability"":0.014090058133806288,""type"":""PROBABILITY""},{""name"":""Geoffrey Cox"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Tobias Ellwood"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Steve Baker"",""probability"":0.030741945019213724,""type"":""PROBABILITY""},{""name"":""Ruth Davidson"",""probability"":0.02345058626465662,""type"":""PROBABILITY""},{""name"":""Esther McVey"",""probability"":0.009853187506158245,""type"":""PROBABILITY""},{""name"":""Philip Hammond"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Rishi Sunak"",""probability"":0.31786382894866494,""type"":""PROBABILITY""}]","Contracts to be added on request",,"★★☆☆☆"
"Gender of next Conservative leader","https://smarkets.com/event/886716/politics/uk/uk-party-leaders/next-conservative-leader","Smarkets","[{""name"":""Male"",""probability"":0.7736942156241513,""type"":""PROBABILITY""},{""name"":""Female"",""probability"":0.22630578437584864,""type"":""PROBABILITY""}]","What will be the gender of the next permanent Conservative Party leader, after Boris Johnson?",,"★★☆☆☆"
"Next German Chancellor after Angela Merkel","https://smarkets.com/event/974485/politics/europe/germany/next-german-chancellor-2019","Smarkets","[{""name"":""Friedrich Merz"",""probability"":0.005865359362689312,""type"":""PROBABILITY""},{""name"":""Annegret Kramp-Karrenbauer"",""probability"":0.018996760920948964,""type"":""PROBABILITY""},{""name"":""Jens Spahn"",""probability"":0.05646502670051651,""type"":""PROBABILITY""},{""name"":""Armin Laschet"",""probability"":0.3709183226823076,""type"":""PROBABILITY""},{""name"":""Robert Habeck"",""probability"":0.06486912369780269,""type"":""PROBABILITY""},{""name"":""Alice Weidel"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Andrea Nahles"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Daniel Gunther"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ralph Brinkhaus"",""probability"":0.03501707082202574,""type"":""PROBABILITY""},{""name"":""Wolfgang Schäuble"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Julia Klockner"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Heiko Maas"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Malu Dreyer"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Peter Altmaier"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ralf Stegner"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ursula Von der Leyen"",""probability"":0.027313315241180077,""type"":""PROBABILITY""},{""name"":""Sahra Wagenknecht"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Martin Sonneborn"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Markus Söder"",""probability"":0.38396218156351225,""type"":""PROBABILITY""},{""name"":""Olaf Scholz"",""probability"":0.033703930666199776,""type"":""PROBABILITY""},{""name"":""Norbert Röttgen"",""probability"":0.0028889083428171236,""type"":""PROBABILITY""},{""name"":""Annalena Baerbock"",""probability"":0,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Next permanent leader of the SNP after Nicola Sturgeon","https://smarkets.com/event/1467262/politics/uk/uk-party-leaders/snp-leader","Smarkets","[{""name"":""Derek Mackay"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Humza Yousaf"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Stewart Hosie"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Mhairi Black"",""probability"":null},{""name"":""Shona Robison"",""probability"":null,""type"":""PROBABILITY""},{""name"":""John Swinney"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Keith Brown"",""probability"":null},{""name"":""Joanna Cherry"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Angus Robertson"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Alex Salmond"",""probability"":null},{""name"":""Michael Matheson"",""probability"":null,""type"":""PROBABILITY""},{""name"":""Tommy Sheppard"",""probability"":null},{""name"":""Angela Constance"",""probability"":null},{""name"":""Roseanna Cunningham"",""probability"":null}]","",,"★★☆☆☆"
"Year in which Boris Johnson will cease to be Prime Minister","https://smarkets.com/event/4399382/politics/uk/uk-party-leaders/borisjohnson","Smarkets","[{""probability"":0.009962143853357242,""type"":""PROBABILITY""},{""probability"":0.00009962143853357243,""type"":""PROBABILITY""},{""name"":""2021"",""probability"":0.10828850368599323,""type"":""PROBABILITY""},{""name"":""2022 or later"",""probability"":0.881649731022116,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Boris Johnson to be the last Prime Minister of a four country UK","https://smarkets.com/event/4399382/politics/uk/uk-party-leaders/borisjohnson","Smarkets","[{""name"":""Yes"",""probability"":0.05664798777381558,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9433520122261844,""type"":""PROBABILITY""}]","With disruptions caused by the post Brexit settlement with the EU could the country could split apart. This would make Boris Johnson the last PM of a four-country UK. ",,"★★☆☆☆"
"Next Prime Minister after Boris Johnson","https://smarkets.com/event/4765465/politics/uk/next-pm/next-pm","Smarkets","[{""name"":""Jeremy Corbyn"",""probability"":0.015382248884786958,""type"":""PROBABILITY""},{""name"":""Nigel Farage"",""probability"":0.008075680664513153,""type"":""PROBABILITY""},{""name"":""Jo Swinson"",""probability"":0.0915243808644824,""type"":""PROBABILITY""},{""name"":""Keir Starmer"",""probability"":0.16720504537763423,""type"":""PROBABILITY""},{""name"":""Rebecca Long-Bailey"",""probability"":0.010998307952622674,""type"":""PROBABILITY""},{""name"":""Sajid Javid"",""probability"":0.025611444393170285,""type"":""PROBABILITY""},{""name"":""Angela Rayner"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Dominic Raab"",""probability"":0.04276265189970774,""type"":""PROBABILITY""},{""name"":""Emily Thornberry"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Jacob Rees-Mogg"",""probability"":0.025611444393170285,""type"":""PROBABILITY""},{""name"":""Rory Stewart"",""probability"":0.01668974003999385,""type"":""PROBABILITY""},{""name"":""Amber Rudd"",""probability"":0.022611905860636827,""type"":""PROBABILITY""},{""name"":""Dominic Grieve"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Johnny Mercer"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Michael Gove"",""probability"":0.059144746962005855,""type"":""PROBABILITY""},{""name"":""Penny Mordaunt"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ruth Davidson"",""probability"":0.02138132594985387,""type"":""PROBABILITY""},{""name"":""Tom Watson"",""probability"":0.01668974003999385,""type"":""PROBABILITY""},{""name"":""Yvette Cooper"",""probability"":0.029610829103214893,""type"":""PROBABILITY""},{""name"":""Gavin Williamson"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Geoffrey Cox"",""probability"":0,""type"":""PROBABILITY""},{""name"":""James Cleverly"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Jeremy Hunt"",""probability"":0.06991232118135672,""type"":""PROBABILITY""},{""name"":""John McDonnell"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Lisa Nandy"",""probability"":0.0384556222119674,""type"":""PROBABILITY""},{""name"":""Liz Truss"",""probability"":0.03660975234579296,""type"":""PROBABILITY""},{""name"":""Priti Patel"",""probability"":0.03660975234579296,""type"":""PROBABILITY""},{""name"":""Tom Tugendhat"",""probability"":0,""type"":""PROBABILITY""},{""name"":""Ken Clarke"",""probability"":0.04660821412090448,""type"":""PROBABILITY""},{""name"":""Harriet Harman"",""probability"":0.007691124442393479,""type"":""PROBABILITY""},{""name"":""Margaret Beckett"",""probability"":0.05699123211813568,""type"":""PROBABILITY""},{""name"":""Rishi Sunak"",""probability"":0.1538224888478696,""type"":""PROBABILITY""},{""name"":""Matthew Hancock"",""probability"":0,""type"":""PROBABILITY""}]","Contracts to be added on request",,"★★☆☆☆"
"NY-22 Congressional District Winner","https://smarkets.com/event/32279294/politics/us/2020-house-representatives-results/new-york-22-congressional-district-race","Smarkets","[{""name"":""Democratic"",""probability"":0.6297324817180413,""type"":""PROBABILITY""},{""name"":""Republican"",""probability"":0.3702675182819587,""type"":""PROBABILITY""}]","Which party will win in New York's 22nd Congressional District in the 2020 House of Representatives Election? Contracts to be added on request.",,"★★☆☆☆"
"Year of next General Election","https://smarkets.com/event/34757345/politics/uk/year-next-general-election-2020/year-next-ge-2020","Smarkets","[{""name"":""2020"",""probability"":0.04608719697667988,""type"":""PROBABILITY""},{""name"":""2021"",""probability"":0.06581251728269887,""type"":""PROBABILITY""},{""name"":""2022"",""probability"":0.09217439395335976,""type"":""PROBABILITY""},{""name"":""2023"",""probability"":0.16462346760070054,""type"":""PROBABILITY""},{""name"":""2024 or later"",""probability"":0.6313024241865609,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
"Year of next Scottish referendum","https://smarkets.com/event/39181409/politics/uk/scottish-independence/year-scottish-referendum","Smarkets","[{""name"":""2020"",""probability"":0.07764344119085889,""type"":""PROBABILITY""},{""name"":""2021"",""probability"":0.04822139911943532,""type"":""PROBABILITY""},{""name"":""2022"",""probability"":0.17471521420085262,""type"":""PROBABILITY""},{""name"":""2023"",""probability"":0.09986721643720735,""type"":""PROBABILITY""},{""name"":""2024"",""probability"":0.2729750506674121,""type"":""PROBABILITY""},{""name"":""2025 or later"",""probability"":0.3265776783842337,""type"":""PROBABILITY""}]","",,"★★☆☆☆"
