"title","url","platform","description","options","numforecasts","numforecasters","stars"
"Labour","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Yes"",""probability"":0.5238095238095238,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.47619047619047616,""type"":""PROBABILITY""}]",,,2
"Conservatives","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Yes"",""probability"":0.5238095238095238,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.47619047619047616,""type"":""PROBABILITY""}]",,,2
"Northern Independence Party","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Yes"",""probability"":0.0196078431372549,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9803921568627451,""type"":""PROBABILITY""}]",,,2
"Reform UK","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Yes"",""probability"":0.0196078431372549,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9803921568627451,""type"":""PROBABILITY""}]",,,2
"Liberal Democrats","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Yes"",""probability"":0.0033222591362126247,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9966777408637874,""type"":""PROBABILITY""}]",,,2
"US Politics - Kamala Harris Specials","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Kamala Harris to become President of the United States before the end of 2040"",""probability"":0.6086956521739131,""type"":""PROBABILITY""},{""name"":""Kamala Harris to become a two-term President of the United States before the end of 2040"",""probability"":0.391304347826087,""type"":""PROBABILITY""}]",,,2
"Prime Minister Betting","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Rishi Sunak"",""probability"":0.19860338249230053,""type"":""PROBABILITY""},{""name"":""Keir Starmer"",""probability"":0.17377795968076296,""type"":""PROBABILITY""},{""name"":""Jeremy Hunt"",""probability"":0.06319198533845927,""type"":""PROBABILITY""},{""name"":""Michael Gove"",""probability"":0.06319198533845927,""type"":""PROBABILITY""},{""name"":""Dominic Raab"",""probability"":0.04088893168959128,""type"":""PROBABILITY""},{""name"":""Priti Patel"",""probability"":0.033100563748716755,""type"":""PROBABILITY""},{""name"":""Liz Truss"",""probability"":0.033100563748716755,""type"":""PROBABILITY""},{""name"":""Sajid Javid"",""probability"":0.02044446584479564,""type"":""PROBABILITY""},{""name"":""Matthew Hancock"",""probability"":0.02044446584479564,""type"":""PROBABILITY""},{""name"":""Tom Tugendhat"",""probability"":0.02044446584479564,""type"":""PROBABILITY""},{""name"":""James Cleverly"",""probability"":0.02044446584479564,""type"":""PROBABILITY""},{""name"":""Jacob Rees-Mogg"",""probability"":0.013629643896530428,""type"":""PROBABILITY""},{""name"":""Nigel Farage"",""probability"":0.013629643896530428,""type"":""PROBABILITY""},{""name"":""Steve Baker"",""probability"":0.013629643896530428,""type"":""PROBABILITY""},{""name"":""Andy Burnham"",""probability"":0.013629643896530428,""type"":""PROBABILITY""},{""name"":""Lisa Nandy"",""probability"":0.013629643896530428,""type"":""PROBABILITY""},{""name"":""Kemi Badenoch"",""probability"":0.010374803563030624,""type"":""PROBABILITY""},{""name"":""Mark Harper"",""probability"":0.010374803563030624,""type"":""PROBABILITY""},{""name"":""Penny Mordaunt"",""probability"":0.010374803563030624,""type"":""PROBABILITY""},{""name"":""Steve Barclay"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Yvette Cooper"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Bim Afolami"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Anneliese Dodds"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Grant Shapps"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Damian Hinds"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Sadiq Khan"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Johnny Mercer"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Tobias Ellwood"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Robert Jenrick"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Gavin Williamson"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Amanda Milling"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Ed Davey"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Angela Rayner"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Ben Wallace"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""David Miliband"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Gillian Keegan"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Dan Jarvis"",""probability"":0.006882295432901504,""type"":""PROBABILITY""},{""name"":""Hilary Benn"",""probability"":0.004603389660417562,""type"":""PROBABILITY""},{""name"":""Caroline Lucas"",""probability"":0.004603389660417562,""type"":""PROBABILITY""},{""name"":""Ed Miliband"",""probability"":0.004603389660417562,""type"":""PROBABILITY""},{""name"":""John McDonnell"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Andrea Leadsom"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Geoffrey Cox"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Rebecca Long-Bailey"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""David Davis"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Bridget Phillipson"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Margaret Beckett"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Jess Phillips"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Helen Whately"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Phillip Hammond"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""David Cameron"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Esther McVey"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Kit Malthouse"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Ruth Davidson"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Emily Thornberry"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Rory Stewart"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Eddie Hughes"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Andrea Jenkyns"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Harriet Harman"",""probability"":0.0034582678543435418,""type"":""PROBABILITY""},{""name"":""Daisy Cooper"",""probability"":0.0027693698753906448,""type"":""PROBABILITY""},{""name"":""Jeremy Corbyn"",""probability"":0.0027693698753906448,""type"":""PROBABILITY""},{""name"":""Layla Moran"",""probability"":0.0027693698753906448,""type"":""PROBABILITY""},{""name"":""Piers Morgan"",""probability"":0.001387448779886331,""type"":""PROBABILITY""}]",,,2
"Boris Johnson Exit Date","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""2021"",""probability"":0.07072159715760089,""type"":""PROBABILITY""},{""name"":""2022"",""probability"":0.08358006936807377,""type"":""PROBABILITY""},{""name"":""2023"",""probability"":0.08358006936807377,""type"":""PROBABILITY""},{""name"":""2024 or later"",""probability"":0.26613653667202436,""type"":""PROBABILITY""},{""name"":""To be Tory leader at next General Election"",""probability"":0.26613653667202436,""type"":""PROBABILITY""},{""name"":""To NOT be Tory leader at next General Election"",""probability"":0.22984519076220286,""type"":""PROBABILITY""}]",,,2
"Keir Starmer Exit Date","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""2023 or Earlier"",""probability"":0.4117647058823529,""type"":""PROBABILITY""},{""name"":""2024"",""probability"":0.2588235294117647,""type"":""PROBABILITY""},{""name"":""2025 or Later"",""probability"":0.32941176470588235,""type"":""PROBABILITY""}]",,,2
"Next Permanent Labour Leader After Keir Starmer","https://sports.williamhill.com/betting/en-gb/politics","WilliamHill",,"[{""name"":""Angela Rayner"",""probability"":0.08437886403847206,""type"":""PROBABILITY""},{""name"":""Andy Burnham"",""probability"":0.07941540144797371,""type"":""PROBABILITY""},{""name"":""Lisa Nandy"",""probability"":0.07500343470086406,""type"":""PROBABILITY""},{""name"":""Sadiq Khan"",""probability"":0.05192545479290589,""type"":""PROBABILITY""},{""name"":""Rosena Allin-Khan"",""probability"":0.039707700723986855,""type"":""PROBABILITY""},{""name"":""Nick Thomas-Symonds"",""probability"":0.03214432915751317,""type"":""PROBABILITY""},{""name"":""Yvette Cooper"",""probability"":0.025962727396452945,""type"":""PROBABILITY""},{""name"":""Anneliese Dodds"",""probability"":0.025962727396452945,""type"":""PROBABILITY""},{""name"":""David Lammy"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""Dan Jarvis"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""Seema Malhotra"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""Jess Phillips"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""Rachel Reeves"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""James Murray"",""probability"":0.019853850361993428,""type"":""PROBABILITY""},{""name"":""Clive Lewis"",""probability"":0.0164641685928726,""type"":""PROBABILITY""},{""name"":""Zarah Sultana"",""probability"":0.0164641685928726,""type"":""PROBABILITY""},{""name"":""Hilary Benn"",""probability"":0.0164641685928726,""type"":""PROBABILITY""},{""name"":""Lousie Haigh"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Shabana Mahmood"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Stephen Kinnock"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Jim McMahon"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Stella Creasy"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Emma Hardy"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Bridget Phillipson"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Richard Burgon"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Ed Miliband"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Matthew Pennycook"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Lucy Powell"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Dawn Butler"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Alison McGovern"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Janet Daby"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Rebecca Long-Bailey"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Jonathan Ashworth"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Dan Carden"",""probability"":0.013235900241328952,""type"":""PROBABILITY""},{""name"":""Ian Murray"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Wes Streeting"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Peter Kyle"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""David Miliband"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Darren Jones"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Chi Onwurah"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Rosie Duffield"",""probability"":0.010075088243399649,""type"":""PROBABILITY""},{""name"":""Diane Abbott"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Nia Griffith"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Jonathan Reynolds"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Liz Kendall"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""John McDonnell"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Preet Gill"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Helen Hayes"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Vicky Foxcroft"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Lloyd Russell-Moyle"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Nadia Whittome"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Angela Eagle"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Justin Madders"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Ian Lavery"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Bell Ribeiro-Addy"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Emily Thornberry"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Barry Gardiner"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Jeremy Corbyn"",""probability"":0.006683474379284916,""type"":""PROBABILITY""},{""name"":""Kate Osamor"",""probability"":0.004470403392766732,""type"":""PROBABILITY""},{""name"":""Tony Blair"",""probability"":0.003358362747799883,""type"":""PROBABILITY""}]",,,2
