"title","url","platform","description","options","numforecasts","numforecasters","stars"
"Total existential risk by 2120","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: ~17% (~1 in 6)

Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""

This estimate already incorporates Ord's expectation that people will start taking these risks more seriously in future. For his ""business as usual"" estimate, see the conditional estimates sheet.","[{""name"":""Yes"",""probability"":0.17,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.83,""type"":""PROBABILITY""}]",,,2
"Overall risk of extinction prior to 2100","https://www.fhi.ox.ac.uk/reports/2008-1.pdf","X-risk estimates","This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.","[{""name"":""Yes"",""probability"":0.19,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.81,""type"":""PROBABILITY""}]",,,2
"Existential risk in the 21st century","https://80000hours.org/podcast/episodes/will-macaskill-paralysis-and-hinge-of-history/#transcript","X-risk estimates","","[{""name"":""Yes"",""probability"":0.01,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.99,""type"":""PROBABILITY""}]",,,2
"Extinction risk in the next century","https://80000hours.org/articles/extinction-risk/","X-risk estimates","Actual estimate: Probably at or above 3%

","[{""name"":""Yes"",""probability"":0.03,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.97,""type"":""PROBABILITY""}]",,,2
"Risk of extinction over the next five centuries","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: At or above 30%

The probability of the human race avoiding extinction for the next five centuries is encouragingly high, perhaps as high as 70 percent”","[{""name"":""Yes"",""probability"":0.3,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.7,""type"":""PROBABILITY""}]",,,2
"Our present civilization on earth will survive to the end of the present century","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: ≤50% (""no better than fifty-fifty"")

","[{""name"":""Yes"",""probability"":0.5,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5,""type"":""PROBABILITY""}]",,,2
"There be zero living humans on planet earth on January 1, 2100","https://www.metaculus.com/questions/578/human-extinction-by-2100/","X-risk estimates","Actual estimate: Median: 1%. Mean: 8%.

That median and mean is as of 3rd July 2019.","[{""name"":""Yes"",""probability"":0.08,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.92,""type"":""PROBABILITY""}]",,,2
"Existential disaster will do us in","https://www.nickbostrom.com/existential/risks.html","X-risk estimates","Actual estimate: Probably at or above 25%

","[{""name"":""Yes"",""probability"":0.25,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.75,""type"":""PROBABILITY""}]",,,2
"Humanity will cease to exist before 5,100 years or thrive beyond 7.8 million years","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","","[{""name"":""Yes"",""probability"":0.05,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.95,""type"":""PROBABILITY""}]",,,2
"Annual probability as of 2009 of extinction","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: 0.3-0.4%

","[{""name"":""Yes"",""probability"":0.0035,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9965,""type"":""PROBABILITY""}]",,,2
"Global catastrophic risk per year.","https://arxiv.org/abs/1611.03072","X-risk estimates","Actual estimate: 0.2%

Beard et al. seem to imply this is about extinction, but the quote suggests it's about ""global catastrophic risk"".","[{""name"":""Yes"",""probability"":0.002,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.998,""type"":""PROBABILITY""}]",,,2
"Humanity avoids every existential catastrophe and eventually fulfils its potential: achieving something close to the best future open to us","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: 50% (~1 in 2)

","[{""name"":""Yes"",""probability"":0.5,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.5,""type"":""PROBABILITY""}]",,,2
"Sentient life will survive for at least billions of years","https://forum.effectivealtruism.org/posts/MSYhEatxkEfg46j3D/the-case-of-the-missing-cause-prioritisation-research?commentId=iWkoScDxocaAJE4Jg","X-risk estimates","Actual estimate: >20%

I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great.","[{""name"":""Yes"",""probability"":0.2,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.8,""type"":""PROBABILITY""}]",,,2
"Existential catastrophe by 2120 as a result of unaligned AI","https://docs.google.com/spreadsheets/d/1W10B6NJjicD8O0STPiT3tNV3oFnT8YsfjmtYR8RO_RI/edit#gid=0","X-risk estimates","Actual estimate: ~10%

","[{""name"":""Yes"",""probability"":0.1,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.9,""type"":""PROBABILITY""}]",,,2
"Human extinction by 2100 as a result of superintelligent AI","https://www.fhi.ox.ac.uk/reports/2008-1.pdf","X-risk estimates","This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain.","[{""name"":""Yes"",""probability"":0.05,""type"":""PROBABILITY""},{""name"":""No"",""probability"":0.95,""type"":""PROBABILITY""}]",,,2
